Easting,Northing,Up
-114.23142936439797,-151.71309054479838,5.785263248331148
-114.5197047782089,-152.36517127602656,5.83124249280975
-114.80789074400774,-153.01736298155487,5.877221657047841
-115.09616621806131,-153.66944366363097,5.921200740553871
-115.3843522619233,-154.32163534206848,5.966179745136074
-115.67253831704907,-154.97382697231686,6.009158668949851
-115.96081393264774,-155.6260186241916,6.053137510681182
-116.24900006504478,-156.2782102263092,6.0951162750006205
-116.5372757418664,-156.93040182509657,6.137094956708054
-116.82555146593319,-157.58270439742682,6.179073557154894
-117.11382720141361,-158.2348959431126,6.219052079600587
-117.40210298123476,-158.887087487335,6.259030522730512
-117.69046828824432,-159.53927900245841,6.2980088824061085
-117.9789231376236,-160.19147051488815,6.336987164233577
-118.26737799656954,-160.84366197467457,6.373965363198508
-118.55592239684715,-161.49574245661285,6.410943483716679
-118.8445563411534,-162.14782293208353,6.447921523646514
-119.13319029572398,-162.79990335619505,6.482899481662471
-119.42200328939208,-163.45198377469188,6.517877359457742
-119.71081630744871,-164.1039531893402,6.551855157652
-119.99980834666897,-164.75592257244267,6.584832873001915
-120.28880043239815,-165.40789195208035,6.617810509464903
-120.57797153470851,-166.05975032407795,6.6497880659065345
-120.86732165576822,-166.71149769017308,6.680765539980101
-121.15667180738272,-167.36324502610705,6.710742934637253
-121.44620099571904,-168.01499235629763,6.74072024733789
-121.73590920289888,-168.66662867847208,6.769697477948071
-122.02570692883849,-169.31815399300163,6.79767463087417
-122.31568367550719,-169.9695683012374,6.8246517032488185
-122.6058394590861,-170.62098260174582,6.851628692556801
-122.89608476368716,-171.27228589423328,6.877605602111586
-123.18659858387865,-171.9234781780281,6.902582431008284
-123.47720192650709,-172.5746704261102,6.926559177697413
-123.76798428271807,-173.225640692164,6.949535847142627
-124.0590351737549,-173.87661094800768,6.972512431738991
-124.35026510271842,-174.5273592476028,6.99548893994853
-124.64167402720022,-175.17810748444248,7.016465363391973
-124.93326187139165,-175.8287445711328,7.031441704505539
-125.22511834680735,-176.4791598377813,7.051417970081715
-125.5172433538813,-177.12957509454662,7.071394148124497
-125.80945788144862,-177.7797683665439,7.090370251482511
-126.1020304176764,-178.4298506251091,7.1083462717041215
-126.39478196820387,-179.07982187154843,7.125322212111428
-126.6878020519348,-179.72968213221756,7.142298069649897
-126.98091163958446,-180.3795423297156,7.157273845768572
-127.274289757043,-181.02918056616141,7.1722495421541765
-127.56784689008323,-181.67870778917973,7.1862251593158675
-127.86158306008932,-182.3281240288769,7.200200695345458
-128.1554982280645,-182.97754019934575,7.2121761464827046
-128.4495924314408,-183.6268453859102,7.224151521170967
-128.7437761557259,-184.27603955983602,7.235126815354178
-129.03813891509122,-184.9251227472227,7.246102027976477
-129.3325911738315,-185.57420586770252,7.255077161177539
-129.62713297516635,-186.22317800379682,7.2640522149377205
-129.921853793592,-186.87215009890167,7.2720271856318135
-130.21666415125625,-187.5210112085669,7.280002077808703
-130.51147451313227,-188.16987225146434,7.285976890751783
-130.80646390939089,-188.8186223061646,7.291951621462829
-131.1014533531387,-189.467372352717,7.297926274790754
-131.39653229624227,-190.1161223289963,7.301900845725214
-131.69170077739662,-190.76476131977165,7.305875337274514
-131.98686930615384,-191.41351127226883,7.309849745701257
-132.282037835634,-192.06215018258646,7.311824079417718
-132.57729590802998,-192.71078908014445,7.3137983295383435
-132.87246450682414,-193.3594279403385,7.31477250303945
-133.16772264557403,-194.00806678649093,7.315746594342713
-133.46298078881833,-194.6567055621518,7.314720605302014
-133.75814947914716,-195.30534432665354,7.31369453872783
-134.05331821419358,-195.95398308198492,7.312668393393054
-134.34848695247177,-196.60273273674457,7.309642163604877
-134.64356623839942,-197.25137140876723,7.306615859721532
-134.93855605065045,-197.90012101378397,7.302589475699577
-135.23354591237086,-198.5489815800005,7.2985630062891715
-135.52844629639708,-199.19773113191286,7.293536462723907
-135.82325720931084,-199.84659161645968,7.28750983853547
-136.11788917427884,-200.49556306397022,7.281483133678691
