XODR Coordinates for (s, t) Coordinates on R1
====================================================================================================

         s |          t |          XODR X |          XODR Y |          XODR Z |            RD X |            RD Y |            RD Z
    3422.0 |      0.000 |      200.883925 |        0.896087 |        5.786000 |      202.298814 |       -3.545813 |        5.786000
    3423.0 |      0.000 |      200.313842 |        1.735990 |        5.786000 |      201.739442 |       -2.716879 |        5.786000
    3424.0 |      0.000 |      199.740361 |        2.573761 |        5.786000 |      201.176723 |       -1.890055 |        5.786000
    3425.0 |      0.000 |      199.163657 |        3.409354 |        5.786000 |      200.610829 |       -1.065386 |        5.786000
    3426.0 |      0.000 |      198.584026 |        4.242553 |        5.786000 |      200.042050 |       -0.243083 |        5.786000
    3427.0 |      0.000 |      198.001301 |        5.073811 |        5.786000 |      199.470224 |        0.577298 |        5.786000
    3428.0 |      0.000 |      197.415580 |        5.903192 |        5.786000 |      198.895446 |        1.395823 |        5.786000
    3429.0 |      0.000 |      196.827006 |        6.730699 |        5.786000 |      198.317859 |        2.212493 |        5.786000
    3430.0 |      0.000 |      196.236026 |        7.555915 |        5.786000 |      197.737899 |        3.026897 |        5.786000
    3431.0 |      0.000 |      195.642353 |        8.379444 |        5.786000 |      197.155287 |        3.839633 |        5.786000
    3432.0 |      0.000 |      195.046088 |        9.201350 |        5.786000 |      196.570121 |        4.650763 |        5.786000
    3433.0 |      0.000 |      194.447330 |       10.021696 |        5.786000 |      195.982500 |        5.460350 |        5.786000
    3434.0 |      0.000 |      193.846634 |       10.839926 |        5.786000 |      195.392968 |        6.267843 |        5.786000
    3435.0 |      0.000 |      193.243660 |       11.656708 |        5.786000 |      194.801192 |        7.073905 |        5.786000
    3436.0 |      0.000 |      192.638494 |       12.472121 |        5.786000 |      194.207257 |        7.878612 |        5.786000
    3437.0 |      0.000 |      192.031236 |       13.286226 |        5.786000 |      193.611261 |        8.682025 |        5.786000
    3438.0 |      0.000 |      191.422378 |       14.098567 |        5.786000 |      193.013688 |        9.483693 |        5.786000
    3439.0 |      0.000 |      190.811698 |       14.909635 |        5.786000 |      192.414320 |       10.284104 |        5.786000
    3440.0 |      0.000 |      190.199227 |       15.719587 |        5.786000 |      191.813187 |       11.083409 |        5.786000
    3441.0 |      0.000 |      189.585064 |       16.528485 |        5.786000 |      191.210388 |       11.881671 |        5.786000
    3442.0 |      0.000 |      188.969609 |       17.335996 |        5.786000 |      190.606315 |       12.678562 |        5.786000
    3443.0 |      0.000 |      188.352779 |       18.142427 |        5.786000 |      190.000887 |       13.474385 |        5.786000
    3444.0 |      0.000 |      187.734555 |       18.947992 |        5.786000 |      189.394086 |       14.269351 |        5.786000
    3445.0 |      0.000 |      187.115038 |       19.752755 |        5.786000 |      188.786011 |       15.063523 |        5.786000
    3446.0 |      0.000 |      186.494528 |       20.556514 |        5.786000 |      188.176958 |       15.856703 |        5.786000
    3447.0 |      0.000 |      185.873064 |       21.359412 |        5.786000 |      187.566965 |       16.649032 |        5.786000
    3448.0 |      0.000 |      185.250604 |       22.161696 |        5.786000 |      186.955990 |       17.440752 |        5.786000
    3449.0 |      0.000 |      184.627246 |       22.963428 |        5.786000 |      186.344130 |       18.231926 |        5.786000
    3450.0 |      0.000 |      184.003203 |       23.764523 |        5.786000 |      185.731596 |       19.022472 |        5.786000
    3451.0 |      0.000 |      183.378596 |       24.565017 |        5.786000 |      185.118505 |       19.812422 |        5.786000
    3452.0 |      0.000 |      182.753387 |       25.365146 |        5.786000 |      184.504822 |       20.602011 |        5.786000
    3453.0 |      0.000 |      182.127676 |       26.164972 |        5.786000 |      183.890644 |       21.391301 |        5.786000
    3454.0 |      0.000 |      181.501605 |       26.964502 |        5.786000 |      183.276111 |       22.180297 |        5.786000
    3455.0 |      0.000 |      180.875324 |       27.763732 |        5.786000 |      182.661371 |       22.968998 |        5.786000
    3456.0 |      0.000 |      180.248836 |       28.562847 |        5.786000 |      182.046428 |       23.757584 |        5.786000
    3457.0 |      0.000 |      179.622239 |       29.361908 |        5.786000 |      181.431377 |       24.546117 |        5.786000
    3458.0 |      0.000 |      178.995637 |       30.160974 |        5.786000 |      180.816321 |       25.334655 |        5.786000
