================================================================================
RESULTS SUMMARY
================================================================================

XODR coordinates for (s, t) coordinates on R1:

----------------------------------------------------------------------------------------------------
         s |          t |          XODR X |          XODR Y |          XODR Z |            RD X |            RD Y |            RD Z
     529.0 |      0.000 |     -131.792100 |     -227.373671 |       11.437061 |     -125.439589 |     -229.368159 |       11.437061
     530.0 |      0.000 |     -132.262597 |     -228.267784 |       11.452018 |     -125.904146 |     -230.251775 |       11.452018
     531.0 |      0.000 |     -132.732411 |     -229.163140 |       11.466575 |     -126.368035 |     -231.136617 |       11.466575
     532.0 |      0.000 |     -133.201565 |     -230.059951 |       11.480730 |     -126.831276 |     -232.022896 |       11.480730
     533.0 |      0.000 |     -133.670004 |     -230.958209 |       11.494484 |     -127.293816 |     -232.910603 |       11.494484
     534.0 |      0.000 |     -134.137673 |     -231.857905 |       11.507836 |     -127.755601 |     -233.799729 |       11.507836
     535.0 |      0.000 |     -134.604517 |     -232.759031 |       11.520788 |     -128.216578 |     -234.690267 |       11.520788
     536.0 |      0.000 |     -135.068277 |     -233.657299 |       11.533338 |     -128.674515 |     -235.577978 |       11.533338
     537.0 |      0.000 |     -135.530925 |     -234.556601 |       11.545486 |     -129.131359 |     -236.466710 |       11.545486
     538.0 |      0.000 |     -135.992596 |     -235.457294 |       11.557234 |     -129.587245 |     -237.356815 |       11.557234
     539.0 |      0.000 |     -136.453236 |     -236.359370 |       11.568580 |     -130.042119 |     -238.248284 |       11.568580
     540.0 |      0.000 |     -136.912791 |     -237.262820 |       11.579525 |     -130.495928 |     -239.141110 |       11.579525
     541.0 |      0.000 |     -137.371209 |     -238.167638 |       11.590069 |     -130.948621 |     -240.035284 |       11.590069
     542.0 |      0.000 |     -137.826704 |     -239.070376 |       11.600196 |     -131.398434 |     -240.927402 |       11.600196
     543.0 |      0.000 |     -138.280829 |     -239.974187 |       11.609782 |     -131.846901 |     -241.820578 |       11.609782
     544.0 |      0.000 |     -138.733666 |     -240.879330 |       11.618797 |     -132.294103 |     -242.715068 |       11.618797
     545.0 |      0.000 |     -139.185162 |     -241.785796 |       11.627242 |     -132.739989 |     -243.610863 |       11.627242
     546.0 |      0.000 |     -139.635264 |     -242.693577 |       11.635117 |     -133.184505 |     -244.507956 |       11.635117
     547.0 |      0.000 |     -140.083919 |     -243.602665 |       11.642422 |     -133.627599 |     -245.406338 |       11.642422
     548.0 |      0.000 |     -140.529822 |     -244.510498 |       11.649157 |     -134.067984 |     -246.303477 |       11.649157
     549.0 |      0.000 |     -140.974058 |     -245.419361 |       11.655321 |     -134.506730 |     -247.201632 |       11.655321
     550.0 |      0.000 |     -141.416697 |     -246.329500 |       11.660915 |     -134.943908 |     -248.101046 |       11.660915
     551.0 |      0.000 |     -141.857688 |     -247.240906 |       11.665939 |     -135.379466 |     -249.001709 |       11.665939
     552.0 |      0.000 |     -142.296978 |     -248.153572 |       11.670393 |     -135.813353 |     -249.903614 |       11.670393
     553.0 |      0.000 |     -142.734514 |     -249.067489 |       11.674276 |     -136.245516 |     -250.806753 |       11.674276
     554.0 |      0.000 |     -143.169432 |     -249.980939 |       11.677589 |     -136.675104 |     -251.709429 |       11.677589
     555.0 |      0.000 |     -143.602382 |     -250.895372 |       11.680332 |     -137.102755 |     -252.613072 |       11.680332
     556.0 |      0.000 |     -144.033429 |     -251.811028 |       11.682505 |     -137.528537 |     -253.517921 |       11.682505
     557.0 |      0.000 |     -144.462520 |     -252.727897 |       11.684108 |     -137.952398 |     -254.423968 |       11.684108
     558.0 |      0.000 |     -144.889605 |     -253.645973 |       11.685140 |     -138.374286 |     -255.331203 |       11.685140
     559.0 |      0.000 |     -145.314630 |     -254.565248 |       11.685602 |     -138.794150 |     -256.239620 |       11.685602
     560.0 |      0.000 |     -145.737107 |     -255.484758 |       11.685494 |     -139.211506 |     -257.148268 |       11.685494
     561.0 |      0.000 |     -146.157331 |     -256.405245 |       11.684816 |     -139.626649 |     -258.057877 |       11.684816
     562.0 |      0.000 |     -146.575345 |     -257.326903 |       11.683567 |     -140.039619 |     -258.968640 |       11.683567
     563.0 |      0.000 |     -146.991097 |     -258.249725 |       11.681748 |     -140.450365 |     -259.880551 |       11.681748
     564.0 |      0.000 |     -147.404535 |     -259.173704 |       11.679352 |     -140.858837 |     -260.793602 |       11.679352
     565.0 |      0.000 |     -147.815606 |     -260.098830 |       11.676354 |     -141.264982 |     -261.707783 |       11.676354
     566.0 |      0.000 |     -148.224119 |     -261.024779 |       11.672753 |     -141.668612 |     -262.622774 |       11.672753
     567.0 |      0.000 |     -148.630122 |     -261.951762 |       11.668548 |     -142.069773 |     -263.538784 |       11.668548
     568.0 |      0.000 |     -149.033605 |     -262.879869 |       11.663739 |     -142.468458 |     -264.455901 |       11.663739
     569.0 |      0.000 |     -149.434515 |     -263.809091 |       11.658327 |     -142.864613 |     -265.374117 |       11.658327
     570.0 |      0.000 |     -149.832802 |     -264.739422 |       11.652312 |     -143.258190 |     -266.293425 |       11.652312
