s_m,x_m,y_m,heading_rad
264.979632,-10.062050,-274.929011,-0.246723883276
266.935142,-8.166164,-275.408213,-0.248365649015
268.890868,-6.270774,-275.890251,-0.249659516283
270.846752,-4.375771,-276.374451,-0.250605699599
272.802737,-2.481047,-276.860139,-0.251204354356
274.758761,-0.586490,-277.346642,-0.251455573460
276.714763,1.308008,-277.833286,-0.251359385201
278.670681,3.202555,-278.319399,-0.250915752350
280.626455,5.097263,-278.804305,-0.250124572491
282.582024,6.992239,-279.287333,-0.248985679574
284.537331,8.887593,-279.767808,-0.247498846709
286.492320,10.783436,-280.245056,-0.245663790195
288.446940,12.679874,-280.718405,-0.243480174805
290.401143,14.577020,-281.187181,-0.240947620335
292.354887,16.474980,-281.650710,-0.238065709428
294.308133,18.373866,-282.108319,-0.234833996706
296.260852,20.273785,-282.559334,-0.231252019205
298.213018,22.174848,-283.003082,-0.227319308146
300.164616,24.077164,-283.438889,-0.223035402053
302.133217,25.997418,-283.872496,-0.221144401328
304.101918,27.918566,-284.302581,-0.219346702266
306.070720,29.840563,-284.729324,-0.217642287687
308.039622,31.763363,-285.152902,-0.216031138536
310.008625,33.686921,-285.573492,-0.214513234333
311.977726,35.611192,-285.991273,-0.213088553594
313.946923,37.536130,-286.406421,-0.211757074222
315.916212,39.461691,-286.819116,-0.210518773883
317.885590,41.387828,-287.229533,-0.209373630350
319.855052,43.314498,-287.637852,-0.208321621825
321.824593,45.241654,-288.044250,-0.207362727235
323.794206,47.169252,-288.448904,-0.206496926508
325.763887,49.097246,-288.851993,-0.205724200819
327.733627,51.025591,-289.253694,-0.205044532816
329.703420,52.954241,-289.654184,-0.204457906816
331.673259,54.883152,-290.053642,-0.203964308987
333.643135,56.812278,-290.452245,-0.203563727494
335.613040,58.741574,-290.850171,-0.203256152629
337.582967,60.670995,-291.247598,-0.203041576915
339.552907,62.600495,-291.644702,-0.202919995182
341.522851,64.530029,-292.041663,-0.202891404627
343.492792,66.459553,-292.438658,-0.202955804842
345.462720,68.389020,-292.835864,-0.203113197822
347.432627,70.318386,-293.233459,-0.203363587949
349.402505,72.247605,-293.631622,-0.203706981952
351.372346,74.176632,-294.030528,-0.204143388841
353.342141,76.105421,-294.430357,-0.204672819820
355.311883,78.033929,-294.831287,-0.205295288172
357.281565,79.962108,-295.233494,-0.206010809127
359.251180,81.889915,-295.637156,-0.206819399694
361.220721,83.817304,-296.042451,-0.207721078483
363.190182,85.744229,-296.449558,-0.208715865492
365.159557,87.670646,-296.858653,-0.209803781874
367.128842,89.596509,-297.269914,-0.210984849680
369.098033,91.521772,-297.683520,-0.212259091576
371.067124,93.446392,-298.099647,-0.213626530537
373.036114,95.370321,-298.518474,-0.215087189512
375.005000,97.293516,-298.940178,-0.216641091076
376.973781,99.215931,-299.364937,-0.218288257040
378.942457,101.137520,-299.792928,-0.220028708054
380.911027,103.058239,-300.224330,-0.221862463169
382.879493,104.978043,-300.659320,-0.223789539392
384.847858,106.896885,-301.098075,-0.225809951198
386.816126,108.814721,-301.540774,-0.227923710029
388.784300,110.731505,-301.987595,-0.230130823770
390.752388,112.647193,-302.438714,-0.232431296187
392.720395,114.561738,-302.894310,-0.234825126356
394.688331,116.475097,-303.354560,-0.237312308062
396.656205,118.387223,-303.819642,-0.239892829165
398.624028,120.298071,-304.289734,-0.242566670961
400.591813,122.207596,-304.765014,-0.245333807501
402.559574,124.115753,-305.245659,-0.248194204895
404.527326,126.022497,-305.731846,-0.251147820596
406.495088,127.927782,-306.223755,-0.254194602657
408.462877,129.831564,-306.721561,-0.257334488963
410.430714,131.733796,-307.225444,-0.260567406450
412.398623,133.634433,-307.735581,-0.263893270298
414.366626,135.533431,-308.252149,-0.267311983103
416.334750,137.430745,-308.775326,-0.270823434034
418.303023,139.326328,-309.305290,-0.274427497965
420.271474,141.220136,-309.842219,-0.278124034600
422.204501,143.069525,-310.404672,-0.312159697174
424.150772,144.911524,-311.033169,-0.345294862949
426.109674,146.743792,-311.726055,-0.377614378425
428.080476,148.563986,-312.481672,-0.409202661908
430.062349,150.369763,-313.298365,-0.440143267966
432.054373,152.158782,-314.174477,-0.470518612885
434.055555,153.928700,-315.108351,-0.500409829712
436.064839,155.677174,-316.098331,-0.529896725687
438.081118,157.401862,-317.142759,-0.559057818818
440.103246,159.100423,-318.239981,-0.587970433933
442.130049,160.770513,-319.388338,-0.616710841514
444.160331,162.409791,-320.586176,-0.645354425111
446.192890,164.015914,-321.831836,-0.673975864956
448.226527,165.586539,-323.123662,-0.702649326735
450.260053,167.119325,-324.459998,-0.731448645240
452.292301,168.611929,-325.839188,-0.760447492884
454.322136,170.062009,-327.259575,-0.789719522860
456.348465,171.467222,-328.719501,-0.819338476043
458.370249,172.825226,-330.217312,-0.849378239663
460.386513,174.133680,-331.751349,-0.879912844291
462.396358,175.390239,-333.319957,-0.911016383893
