s_m,x_m,y_m,heading_rad
616.736223,-154.836805,-272.271837,-1.942970108993
618.714140,-155.551365,-274.116169,-1.937832400240
620.691402,-156.255945,-275.963635,-1.932410554204
622.667870,-156.949955,-277.814250,-1.926702964275
624.643416,-157.632806,-279.668030,-1.920707958240
626.617922,-158.303910,-281.524988,-1.914423811180
628.591279,-158.962677,-283.385139,-1.907848759288
630.563389,-159.608519,-285.248498,-1.900981014690
632.534168,-160.240847,-287.115080,-1.893818781297
634.503540,-160.859071,-288.984900,-1.886360271751
636.471446,-161.462604,-290.857973,-1.878603725507
638.437835,-162.050855,-292.734312,-1.870547428083
640.402676,-162.623236,-294.613933,-1.862189731522
642.365946,-163.179159,-296.496851,-1.853529076086
644.327641,-163.718034,-298.383081,-1.844564013181
646.287771,-164.239272,-300.272636,-1.835293229542
648.246361,-164.742285,-302.165532,-1.825715572638
650.203456,-165.226483,-304.061784,-1.815830077286
652.159114,-165.691278,-305.961406,-1.805635993405
654.113414,-166.136081,-307.864414,-1.795132814873
656.066450,-166.560302,-309.770821,-1.784320309351
658.018339,-166.963354,-311.680643,-1.773198548994
659.969214,-167.344646,-313.593894,-1.761767941879
661.919230,-167.703591,-315.510589,-1.750029263980
663.868562,-168.039598,-317.430744,-1.737983691488
665.817405,-168.352081,-319.354371,-1.725632833223
667.765977,-168.640448,-321.281488,-1.712978762881
669.714517,-168.904112,-323.212107,-1.700024050795
671.663288,-169.142484,-325.146244,-1.686771794883
673.612574,-169.354974,-327.083914,-1.673225650404
675.562683,-169.540994,-329.025131,-1.659389858134
677.513948,-169.699955,-330.969910,-1.645269270529
679.466724,-169.831268,-332.918266,-1.630869375451
