x_m,y_m
258.7625582885009,-90.14953633894874
260.486483815465,-91.06619817349014
262.2538403099662,-91.87960247667205
264.06526465331217,-92.59469305053872
265.9168137210821,-93.21468179966334
267.8045443888557,-93.74278062861907
269.7245135322121,-94.18220144197909
271.6727780267309,-94.5361561443166
273.6453947479914,-94.80785664020475
275.6384205715731,-95.00051483421672
277.6479123730553,-95.11734263092569
279.6699270280175,-95.16155193490484
281.7005214120391,-95.13635465072734
283.73575240069954,-95.04496268296639
285.7716768695782,-94.89058793619513
287.8043516942545,-94.67644231498677
289.8298337503078,-94.40573772391447
291.84417991331765,-94.0816860675514
293.84344705886326,-93.70749925047076
295.82369206252423,-93.2863891772457
297.78097179987986,-92.82156775244943
299.71134314650965,-92.31624688065507
301.6108629779929,-91.77363846643586
303.496266312326,-91.1933597241083
305.40421859637615,-90.59531535936091
307.3115542455214,-89.99494114886242
309.21829694621914,-89.39232540636998
311.1244703849264,-88.78755644564058
313.03009824810056,-88.18072258043134
314.9352042221988,-87.57191212449929
316.8398119936784,-86.96121339160155
318.74394524899657,-86.34871469549513
320.6476276746105,-85.73450434993714
322.5508829569775,-85.11867066868464
324.45373478255476,-84.50130196549469
326.3562068377995,-83.88248655412436
328.258322809169,-83.26231274833071
330.1601063831204,-82.64086886187084
332.06158124611113,-82.01824320850179
333.9627710845983,-81.39452410198064
335.86369958503906,-80.76979985606445
337.7643904338908,-80.14415878451028
339.6648673176107,-79.51768920107524
341.56515392265595,-78.89047941951635
343.46527393548376,-78.2626177535907
345.36525104255156,-77.63419251705538
347.26510893031633,-77.00529202366741
349.16487128523545,-76.3760045871839
351.06456179376625,-75.74641852136187
352.96420414236565,-75.11662213995848
354.8638220174912,-74.48670375673072
356.76343910559996,-73.85675168543567
358.6630790931492,-73.2268542398304
360.56276566659625,-72.597099733672
362.4625225123982,-71.96757648071753
364.36237331701244,-71.33837279472402
366.262341766896,-70.7095769894486
368.1624515485063,-70.08127737864832
370.0627263483006,-69.4535622760802
371.9631898527359,-68.82651999550137
373.86386574826963,-68.20023885066888
375.76477772135894,-67.5748071553398
377.66594945846117,-66.9503132232712
379.5674046460334,-66.3268453682201
381.469166970533,-65.70449190394365
383.3712601184171,-65.08334114419887
385.27370777614306,-64.46348140274284
387.176533630168,-63.84500099333261
389.07976136694924,-63.227988229725284
390.9834146729439,-62.6125314256779
392.88751723460933,-61.998718894947544
394.79209273840274,-61.38663895129127
