x,y
-109.48005884741823,-365.50462239021977
-109.40744428710369,-364.51371935371475
-109.33123563356926,-363.5232691649203
-109.25142280242152,-362.5332870902067
-109.16799570926698,-361.5437883959441
-109.08094426971229,-360.5547883485026
-108.99025839936398,-359.56630221425235
-108.89592801382862,-358.5783452595637
-108.79794302871282,-357.59093275080676
-108.69629335962311,-356.6040799543516
-108.5909689221661,-355.61780213656857
-108.48195963194831,-354.6321145638277
-108.36925540457636,-353.64703250249926
-108.25284615565681,-352.66257121895336
-108.13272180079626,-351.67874597956023
-108.00887225560122,-350.69557205069003
-107.88128743567832,-349.71306469871297
-107.74995725663408,-348.73123918999914
-107.61487163407514,-347.7501107909188
-107.47973707097461,-346.77722602674703
-107.3458978707915,-345.80390802338854
-107.21320226470142,-344.83019482363017
-107.08149848387994,-343.85612447025846
-106.95063475950266,-342.8817350060602
-106.82045932274515,-341.90706447382195
-106.69082040478303,-340.9321509163304
-106.56156623679185,-339.9570323763722
-106.43254504994725,-338.98174689673397
-106.30360507542478,-338.0063325202025
-106.17459454440005,-337.03082728956434
-106.04536168804863,-336.05526924760625
-105.91575473754612,-335.0796964371148
-105.78562192406812,-334.1041469008767
-105.65481147879022,-333.1286586816786
-105.52317163288798,-332.15326982230715
-105.39055061753702,-331.178018365549
-105.25679666391292,-330.20294235419084
-105.12175800319126,-329.2280798310194
-104.98528286654765,-328.2534688388212
-104.84721948515765,-327.279147420383
-104.70741609019689,-326.3051536184915
-104.56572091284093,-325.33152547593323
-104.42198218426536,-324.35830103549495
-104.27604813564578,-323.3855183399633
-104.12776699815777,-322.41321543212496
-103.97698700297693,-321.4414303547665
-103.82355638127885,-320.4702011506747
-103.66732336423911,-319.4995658626362
-103.50813618303332,-318.5295625334376
-103.34584306883703,-317.56022920586565
-103.18029225282585,-316.59160392270695
-103.01133196617539,-315.62372472674815
-102.83881044006121,-314.65662966077593
-102.66257590565891,-313.690356767577
-102.48247659414409,-312.724944089938
-102.29836073669233,-311.7604296706456
-102.11007656447921,-310.7968515524863
-101.91747230868035,-309.83424777824706
-101.7203962004713,-308.87265639071427
-101.51869647102767,-307.9121154326748
-101.31222135152507,-306.9526629469152
-101.10081907313905,-305.9943369762221
-100.88433786704522,-305.0371755633823
-100.66262596441915,-304.0812167511823
-100.43553159643648,-303.1264985824089
-100.20290299427273,-302.1730590998487
-99.96458838910355,-301.22093634628834
-99.7204360121045,-300.27016836451446
-99.47029409445119,-299.3207931973139
-99.21401086731917,-298.37284888747314
-98.95591576322474,-297.48319030592614
-98.66999256089038,-296.59639240818757
-98.35681353620674,-295.7129280831645
-98.01695096506447,-294.8332702197644
-97.6509771233542,-293.9578917068945
-97.25946428696653,-293.0872654334622
-96.84298473179217,-292.22186428837483
-96.4021107337217,-291.3621611605396
-95.93741456864578,-290.508628938864
-95.44946851245504,-289.66174051225516
-94.93884484104011,-288.8219687696206
-94.40611583029167,-287.98978659986756
-93.8518537561003,-287.1656668919034
-93.27663089435667,-286.3500825346353
-92.68101952095142,-285.54350641697084
-92.06559191177517,-284.74641142781707
-91.4309203427186,-283.9592704560815
-90.77757708967229,-283.18255639067144
-90.10613442852691,-282.41674212049423
-89.41716463517308,-281.662300534457
-88.71123998550146,-280.91970452146734
-87.98893275540269,-280.18942697043246
-87.25081522076738,-279.47194077025966
-86.49745965748619,-278.76771880985626
-85.72943834144975,-278.07723397812964
-84.9473235485487,-277.4009591639871
-84.15168755467369,-276.739367256336
-83.34310263571533,-276.0929311440836
-82.52214106756428,-275.4621237161373
-81.68937512611116,-274.8474178614043
-80.84537708724662,-274.2492864687921
-79.9907192268613,-273.66820242720786
-79.12597382084583,-273.10463862555906
-78.25171314509087,-272.55906795275297
-77.36850947548702,-272.0319632976968
-76.47693508792493,-271.523797549298
-75.57756225829526,-271.0350435964639
-74.67096326248864,-270.56617432810174
-73.75771037639569,-270.1176626331189
-72.83837587590706,-269.68998140042277
-71.9135320369134,-269.2836035189206
-70.98375113530531,-268.89900187751965
-70.04960544697346,-268.53664936512735
-69.1116672478085,-268.197018870651
-68.17050881370102,-267.880583282998
-67.2267024205417,-267.5878154910755
-66.28082034422115,-267.3191883837909
-65.33343486063004,-267.0751748500516
-64.38511824565899,-266.8562477787649
-63.436442775198614,-266.6628800588381
-62.48798072513959,-266.4955445791785
-61.540304371372535,-266.3547142286934
-60.593985989788095,-266.24086189629026
-59.649597856276905,-266.15446047087624
-58.7077122467296,-266.0959828413588
-57.7689014370368,-266.06590189664524
-56.833737703089184,-266.06469052564285
-55.902793320777356,-266.09282161725895
-54.97664056599197,-266.1507680604009
-54.05585171462366,-266.239002743976
-53.07477190013504,-266.3521279494535
-52.094477291219306,-266.47003373082555
-51.11495371046301,-266.5926327425588
-50.13618698045269,-266.7198376391198
-49.1581629237749,-266.8515610749753
-48.18086736301621,-266.9877157045918
-47.204286120763136,-267.1282141824361
-46.22840501960224,-267.27296916297485
-45.253209882120075,-267.42189330067464
-44.27868653090319,-267.57489925000215
-43.304820788538116,-267.731899665424
-42.33159847761143,-267.8928072014069
-41.359005420709664,-268.0575345124174
-40.38702744041936,-268.2259942529223
-39.41565035932708,-268.3980990773881
-38.444860000019375,-268.5737616402816
-37.474642185082786,-268.75289459606927
-36.504982737103866,-268.93541059921796
