s_m,x_m,y_m
644.2087138508278,-163.68621737450297,-298.26990042194996
646.2041272903658,-164.2177455932293,-300.19321853068453
648.1979445283679,-164.73041337812302,-302.11999794745395
650.1902100440329,-165.22359951999312,-304.0502542294992
652.1809867395331,-165.69668280964873,-305.98400293406115
654.1703565725012,-166.1490420378988,-307.92125961838065
656.1584211839138,-166.58005599555244,-309.8620398396985
658.1453025190713,-166.98910347341868,-311.8063591552556
660.1311434391574,-167.37556326230654,-313.7542331222929
662.1161083206374,-167.73881415302503,-315.7056772980512
664.100383639538,-168.07823493638332,-317.66070723977145
666.0841785374431,-168.39320440319034,-319.61933850469444
668.0677253658375,-168.6831013442552,-321.58158665006107
670.0512802052477,-168.94730455038686,-323.5474672331122
672.0351233554659,-169.1851928123944,-325.51699581108875
674.0195597930017,-169.39614492108691,-327.4901879412316
676.004919591801,-169.57953966727345,-329.4670591807816
677.9915583031969,-169.73475584176296,-331.4476250869795
679.9823769424627,-169.8620622868727,-333.4343691378027
681.9809719055402,-169.97650963954294,-335.42968455895937
683.9793531749008,-170.08373192619626,-337.42518727230663
685.9775480969469,-170.1838435348979,-339.4208727716511
687.9755828032303,-170.27695885371293,-341.41673655079916
689.9734822286837,-170.36319227070655,-343.41277410355724
691.9712701300107,-170.4426581739439,-345.4089809237318
693.9689691042271,-170.5154709514901,-347.4053525051292
695.966600607341,-170.58174499141037,-349.40188434155596
697.9641849731632,-170.64159468176985,-351.3985719268184
699.9617414322388,-170.6951344106336,-353.3954107547231
701.9592881308891,-170.74247856606692,-355.3923963190764
703.956842150358,-170.7837415361348,-357.3895241136848
705.9544195260507,-170.81903770890256,-359.3867896323546
707.9520352668612,-170.84848147243522,-361.38418836889235
709.9497033745763,-170.872187214798,-363.3817158171045
711.9474368633523,-170.89026932405608,-365.3793674707974
713.9452477792557,-170.90284218827452,-367.3771388237775
715.943147219861,-170.91002019551854,-369.3750253698513
717.9411453538999,-170.91191773385327,-371.37302260282513
719.9392514409561,-170.90864919134387,-373.3711260165055
721.937473851199,-170.9003289560555,-375.3693311046988
723.9358200851511,-170.88707141605326,-377.3676333612115
725.934296793485,-170.86899095940237,-379.36602827985007
727.9329097968435,-170.84620197416794,-381.3645113544208
729.9316641056802,-170.81881884841516,-383.36307807873027
731.930563940114,-170.7869559702092,-385.36172394658485
733.9296127497964,-170.75072772761513,-387.36044445179095
735.9288132337853,-170.71024850869816,-389.35923508815506
737.9281673604227,-170.66563270152344,-391.3580913494836
739.927676387215,-170.6169946941561,-393.35700872958296
741.9273408807098,-170.5644488746613,-395.35598272225957
743.927160736369,-170.50810963110422,-397.35500882131987
745.927135198435,-170.44809135154998,-399.35408252057044
747.927262879787,-170.38450842406374,-401.3531993138175
749.9275417817875,-170.31747523671066,-403.3523546948676
751.9279693141153,-170.2471061775559,-405.35154415752714
753.9285423145845,-170.1735156346646,-407.35076319560255
755.9292570689475,-170.09681799610192,-409.35000730290034
757.9301093306821,-170.017127649933,-411.34927197322685
759.9310943407602,-169.934558984223,-413.3485527003885
761.932206847399,-169.84922638703708,-415.34784497819174
763.9334411257929,-169.76124424644036,-417.34714430044306
765.934790997826,-169.67072695049802,-419.34644616094886
767.9362498517655,-169.57778888727523,-421.3457460535156
769.9378106619357,-169.48254444483712,-423.34503947194963
771.9394660083719,-169.38510801124886,-425.34432191005743
773.9412080964561,-169.2855939745756,-427.3435888616455
775.9430287765323,-169.18411672288244,-429.3428358205202
777.9449195635056,-169.08079064423458,-431.34205828048795
779.9468716564212,-168.9757301266972,-433.34125173535523
781.9488759580283,-168.86904955833538,-435.34041167892843
783.9509230943266,-168.76086332721434,-437.339533605014
785.9530034340978,-168.6512858213992,-439.3386130074185
787.9551071084228,-168.54043142895512,-441.33764537994807
789.957224030186,-168.42841453794725,-443.3366262164094
791.9593439135673,-168.31534953644072,-445.3355510106088
793.9614562935235,-168.20135081250072,-447.3344152563528
795.9635505452597,-168.08653275419238,-449.33321444744774
797.9656159036941,-167.97100974958087,-451.3319440777001
799.9676414829145,-167.85489618673137,-453.33059964091626
801.9696162956305,-167.73830645370896,-455.32917663090274
803.9715292726225,-167.6213549385788,-457.32767054146586
805.973369282188,-167.50415602940612,-459.3260768664122
807.9751251495869,-167.386824114256,-461.3243910995481
809.9767856764901,-167.26947358119364,-463.32260873468
811.9783396604281,-167.15221881828413,-465.3207252656143
813.9797759142461,-167.0351742135927,-467.31873618615754
815.9810832855644,-166.91845415518446,-469.316636990116
817.9822506762459,-166.80217303112454,-471.31442317129626
819.9832670618742,-166.68644522947812,-473.31209022350464
821.9841215112413,-166.57138513831038,-475.3096336405477
823.9848032058479,-166.45710714568645,-477.30704891623174
825.9853014594194,-166.34372563967145,-479.30433154436327
827.9856057374346,-166.23135500833058,-481.3014770187487
829.9857056766742,-166.12010963972895,-483.2984808331945
831.9855911047856,-166.01010392193174,-485.29533848150703
