t,segment_id,segment_name
127.1,34,straight
127.15,34,straight
127.2,34,straight
127.25,34,straight
127.3,34,straight
127.35,34,straight
127.4,34,straight
127.45,34,straight
127.5,34,straight
127.55,34,straight
127.6,34,straight
127.65,34,straight
127.7,34,straight
127.75,34,straight
127.8,34,straight
127.85,34,straight
127.9,34,straight
127.95,34,straight
128.0,34,straight
128.05,34,straight
128.1,34,straight
128.15,34,straight
128.2,34,straight
128.25,34,straight
128.3,34,straight
128.35,34,straight
128.4,34,straight
128.5,34,straight
128.55,34,straight
128.6,34,straight
128.7,34,straight
128.75,35,curve
128.8,35,curve
128.9,35,curve
128.95,36,straight
129.0,36,straight
129.1,36,straight
129.15,36,straight
129.25,36,straight
129.3,36,straight
129.35,36,straight
129.45,36,straight
129.5,36,straight
129.6,36,straight
129.65,36,straight
129.7,36,straight
129.8,36,straight
129.85,37,curve
129.95,37,curve
130.0,37,curve
130.1,37,curve
130.15,37,curve
130.2,37,curve
130.3,37,curve
130.35,37,curve
130.45,37,curve
130.5,37,curve
130.6,37,curve
130.65,37,curve
130.75,37,curve
130.8,37,curve
130.85,37,curve
130.95,37,curve
131.0,37,curve
131.1,37,curve
131.15,37,curve
131.25,37,curve
131.3,37,curve
131.4,37,curve
131.45,37,curve
131.55,37,curve
131.6,37,curve
131.65,37,curve
131.75,37,curve
131.8,37,curve
131.9,37,curve
131.95,37,curve
132.0,37,curve
132.1,37,curve
132.15,37,curve
132.25,37,curve
132.3,37,curve
132.35,37,curve
132.45,37,curve
132.5,37,curve
132.55,37,curve
132.65,37,curve
132.7,37,curve
132.8,37,curve
132.85,37,curve
132.9,37,curve
133.0,37,curve
133.05,37,curve
133.15,37,curve
133.2,38,straight
133.3,38,straight
133.35,38,straight
133.4,38,straight
133.5,38,straight
133.55,38,straight
133.6,38,straight
133.7,38,straight
133.75,38,straight
133.8,38,straight
133.85,38,straight
133.9,38,straight
133.95,38,straight
134.0,38,straight
134.05,38,straight
134.1,38,straight
134.15,38,straight
134.2,38,straight
134.25,38,straight
134.3,38,straight
134.35,38,straight
134.4,38,straight
134.45,38,straight
134.55,38,straight
134.6,38,straight
134.65,38,straight
134.7,38,straight
134.75,38,straight
134.8,38,straight
134.85,38,straight
134.9,38,straight
134.95,38,straight
135.0,38,straight
135.05,38,straight
135.1,38,straight
135.15,38,straight
135.2,38,straight
135.25,38,straight
135.3,38,straight
135.35,38,straight
135.4,38,straight
135.45,38,straight
135.5,38,straight
135.55,38,straight
135.6,38,straight
135.65,38,straight
135.7,38,straight
135.75,38,straight
135.8,38,straight
135.85,38,straight
135.9,38,straight
135.95,38,straight
136.0,38,straight
136.05,38,straight
136.1,38,straight
136.15,38,straight
136.2,38,straight
136.25,38,straight
136.3,38,straight
136.35,38,straight
136.4,38,straight
136.45,38,straight
136.5,38,straight
136.55,38,straight
136.6,38,straight
136.65,38,straight
136.7,38,straight
136.75,38,straight
136.8,38,straight
136.85,38,straight
136.9,38,straight
136.95,38,straight
137.0,38,straight
137.05,38,straight
137.1,38,straight
137.15,38,straight
137.2,38,straight
137.25,38,straight
137.3,39,curve
137.35,39,curve
137.4,39,curve
137.45,39,curve
137.5,39,curve
137.55,39,curve
137.6,39,curve
137.65,39,curve
137.7,39,curve
137.75,39,curve
137.8,39,curve
137.85,39,curve
137.9,39,curve
137.95,39,curve
138.0,39,curve
138.05,39,curve
138.1,39,curve
138.15,39,curve
138.2,39,curve
138.25,39,curve
138.3,39,curve
138.35,42,straight
138.4,42,straight
138.45,42,straight
138.5,42,straight
138.55,42,straight
138.6,42,straight
138.65,42,straight
138.7,42,straight
138.75,42,straight
138.8,42,straight
138.85,42,straight
138.9,42,straight
138.95,42,straight
139.0,42,straight
139.05,42,straight
139.1,42,straight
139.15,42,straight
139.2,42,straight
139.25,42,straight
139.3,42,straight
139.35,42,straight
139.4,42,straight
139.45,42,straight
139.5,42,straight
139.55,42,straight
139.6,42,straight
139.65,42,straight
139.7,42,straight
139.75,42,straight
139.8,42,straight
139.85,42,straight
139.9,42,straight
139.95,42,straight
140.0,42,straight
140.05,42,straight
140.1,42,straight
140.15,42,straight
140.2,42,straight
140.25,42,straight
140.3,42,straight
140.35,42,straight
140.4,42,straight
140.45,42,straight
140.5,42,straight
140.55,42,straight
140.6,42,straight
140.65,42,straight
140.7,42,straight
140.75,42,straight
140.8,42,straight
140.85,42,straight
140.9,42,straight
140.95,42,straight
141.0,42,straight
141.05,42,straight
141.1,42,straight
141.15,42,straight
141.2,42,straight
141.3,42,straight
141.35,42,straight
141.4,42,straight
141.45,43,curve
141.55,43,curve
141.6,43,curve
141.7,43,curve
141.8,43,curve
141.85,43,curve
141.95,43,curve
142.1,43,curve
142.2,43,curve
142.35,43,curve
142.45,43,curve
142.6,43,curve
142.7,43,curve
142.8,43,curve
142.95,43,curve
143.05,43,curve
143.15,43,curve
143.25,43,curve
143.35,43,curve
143.45,43,curve
143.55,43,curve
143.6,43,curve
143.7,43,curve
143.8,43,curve
143.9,43,curve
144.0,43,curve
144.1,43,curve
144.2,43,curve
144.25,43,curve
144.35,43,curve
144.45,43,curve
144.55,43,curve
144.6,43,curve
144.7,43,curve
144.8,43,curve
144.9,43,curve
144.95,43,curve
145.05,43,curve
145.15,43,curve
145.25,43,curve
145.35,43,curve
145.45,43,curve
145.55,43,curve
145.6,43,curve
145.7,43,curve
145.8,43,curve
145.85,43,curve
145.95,43,curve
146.0,43,curve
146.05,43,curve
146.15,43,curve
146.2,43,curve
146.25,44,straight
146.3,44,straight
146.35,44,straight
146.45,44,straight
146.5,44,straight
146.55,44,straight
146.6,44,straight
146.65,44,straight
146.7,44,straight
146.75,44,straight
146.8,44,straight
146.85,44,straight
146.9,44,straight
146.95,44,straight
147.0,44,straight
147.05,44,straight
147.1,44,straight
