sim_time,x_dspace,y_dspace,z_dspace,heading_dspace_deg,longitude_deg,latitude_deg,heading_gnss_deg
16535,81.58979854608889,100.76777023545267,4.8458936812829965,-123.26241579326151,-121.75485357340152,36.58820758154654,214.343284858932
16540,81.14531922166967,100.10358306996825,4.8386225467537765,-123.38894026626072,-121.75485856971427,36.58820171583475,214.38812437505482
16545,80.70552019738284,99.44726284933385,4.831460353287835,-123.49513941176073,-121.75486351327316,36.588195919660336,214.4229827705069
16550,80.26967847415789,98.79803827499126,4.823996356141493,-123.58151477124065,-121.75486841215479,36.58819018623337,214.48502649961748
16555,79.83871173878016,98.15769045763665,4.815842483763065,-123.66176947113996,-121.75487325597665,36.588184531312415,214.55245345389255
16560,79.4124578029536,97.52600717023273,4.809348368120451,-123.74066355131191,-121.75487804655698,36.588178953025306,214.62448524257246
16565,78.99024894968618,96.90215986598135,4.802800627896005,-123.81771268076506,-121.75488279137382,36.58817344406671,214.70949733676574
16570,78.56621223621295,96.27766485453724,4.803106459430354,-123.89817675626529,-121.75488755639608,36.58816792953417,214.79049532354423
16575,78.13095600750597,95.63822822982232,4.800382657994332,-123.97749702299332,-121.75489244723602,36.588162283174,214.84769430263077
16580,77.68668223128618,94.98719549686017,4.790023083888374,-124.05252106738752,-121.75489743913269,36.58815653453558,214.9169402059679
16585,77.23335076645286,94.32433402342096,4.787781815786295,-124.12397947426935,-121.7549025325655,36.588150681552285,214.9718656707867
16590,76.76696624797181,93.64406115878498,4.78154704415452,-124.19784550793159,-121.75490777238214,36.58814467494864,215.0528626812779
16595,76.28928199901274,92.95009318064298,4.77181435681457,-124.28415704622911,-121.75491313869465,36.588138547621675,215.18110363966224
16600,75.81101748519964,92.25881113091697,4.753757056964551,-124.38439358532375,-121.75491851094827,36.588132444264694,215.32009951734864
16605,75.34028612999437,91.58206579485916,4.745296673757852,-124.49856232285939,-121.75492379798631,36.588126469517746,215.45867456985084
16610,74.87291245992459,90.91307575986734,4.743716784474635,-124.61020906224086,-121.75492904683301,36.58812056345327,215.55619062698858
16615,74.4096377422828,90.25228185848417,4.73542642125384,-124.7094809148643,-121.75493424926496,36.58811472991758,215.65522091838184
16620,73.95227207888209,89.60232742971198,4.731074571185026,-124.80970946337287,-121.75493938494526,36.588108992250795,215.7463269730539
16625,73.50045401004255,88.9620734268367,4.726294553928282,-124.90376531813169,-121.7549444580349,36.58810334035143,215.8127561885744
16630,73.05316742539186,88.32982515426762,4.721234679086484,-124.98753614793868,-121.7549494799846,36.588097759240554,215.88039941257466
16635,72.61170916095266,87.70726092998865,4.714854343619361,-125.06429417667229,-121.75495443625938,36.58809226372184,215.9359678674574
16640,72.17557105004576,87.09330857455438,4.711116539559638,-125.13326836648862,-121.75495933262256,36.58808684430446,215.97795034425346
16645,71.73800701162963,86.47821585916451,4.712551008623344,-125.19379842685342,-121.75496424485173,36.58808141488547,216.01277330669433
16650,71.28966408342673,85.84864872629608,4.710986916450462,-125.24782590243855,-121.75496927797658,36.5880758577513,216.0380042570918
16655,70.8328750706417,85.20798870759391,4.702370132044931,-125.29661949463545,-121.75497440579159,36.58807020275832,216.07976106011986
16660,70.3668772805538,84.55542384351308,4.701537747223193,-125.34541726834888,-121.75497963681637,36.58806444275879,216.11400947166965
16665,69.88816666565175,83.88567372423826,4.696090242007404,-125.38928161745112,-121.75498501044638,36.58805853111608,216.1353797463853
